item_id,en_name,he_name,status
131,"folding table","folding table",NULL
132,"Canned food","Canned food",NULL
133,oil,oil,NULL
134,"Garbage bags + plastic bags","Garbage bags + plastic bags",NULL
135,"Quick-cooking dishes","Quick-cooking dishes",NULL
136,"Sandwiches for the first day","Sandwiches for the first day",NULL
137,"Salt, pepper and spices","Salt, pepper and spices",NULL
138,"Soap Dish","Soap Dish",NULL
139,"Sleeping Bag","Sleeping Bag",NULL
140,"Another blanket","Another blanket",NULL
141,"A toothbrush box","A toothbrush box",NULL
142,Finjan,Finjan,NULL
143,hammock,hammock,NULL
144,"Sewing kit","Sewing kit",NULL
145,binoculars,binoculars,NULL
146,compass,compass,NULL
147,"Stick for trips","Stick for trips",NULL
148,"Locks for bags","Locks for bags",NULL
149,mat,mat,NULL
150,"Inflatable double / single mattress","Inflatable double / single mattress",NULL
151,"A small towel","A small towel",NULL
152,Lederman,Lederman,NULL
153,"A small pillow","A small pillow",NULL
154,"Mosquito net","Mosquito net",NULL
155,"folding chair","folding chair",NULL
156,"tent Pegs and rods","tent Pegs and rods",NULL
157,Ropes,Ropes,NULL
158,"Gasier ","Gasier ",NULL
159,Switchblade,Switchblade,NULL
160,Earplugs,Earplugs,NULL
161,Purse,Purse,NULL
162,"Eyecover for sleep","Eyecover for sleep",NULL
163,"Writing Tools","Writing Tools",NULL
164,Cash,Cash,NULL
165,"A small sleeping pad for the plane","A small sleeping pad for the plane",NULL
166,"Towels for bathing and sea","Towels for bathing and sea",NULL
167,"Small notebook and pen","Small notebook and pen",NULL
168,"Lighter and matches","Lighter and matches",NULL
169,Book,Book,NULL
170,"Sewing kit","Sewing kit",NULL
171,hammer,hammer,NULL
172,"Fishing Equipment","Fishing Equipment",NULL
173,Tzilla,Tzilla,NULL
174,Cards,Cards,NULL
175,"Sunshade to the sea","Sunshade to the sea",NULL
176,"Laundry bag","Laundry bag",NULL
177,phone,phone,NULL
178,battery,battery,NULL
179,celddddd,celddddd,NULL
180,celddddd,celddddd,NULL
181,ppppp,ppppp,NULL
182,ppppp,ppppp,NULL
183,ppppp,ppppp,NULL
184,ppppp,ppppp,NULL
